time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_type,characteristic_value,exam_cohort,level_of_study,student_count_year_1,student_count_year_2,retained,retained_and_assessed,returned_and_retained,perc_retained,perc_retained_and_assessed,perc_returned_and_retained
202122,Academic year,National,E92000001,England,Revised,First Language,Unknown first language,A level,Level 3,11021,10867,10284,10075,9666,93.313,91.416,88.948
202223,Academic year,National,E92000001,England,Revised,First Language,Unknown first language,A level,Level 3,10825,10631,9892,9707,9332,91.381,89.672,87.781
202324,Academic year,National,E92000001,England,Revised,First Language,Unknown first language,A level,Level 3,12443,12209,11425,11332,10875,91.819,91.071,89.074
201920,Academic year,National,E92000001,England,Final,FSM,Eligible for FSM,A level,Level 3,14663,14345,12609,12194,11490,85.992,83.162,80.098
202021,Academic year,National,E92000001,England,Final,FSM,Eligible for FSM,A level,Level 3,14953,14757,13513,13349,12992,90.37,89.273,88.04
202122,Academic year,National,E92000001,England,Revised,FSM,Eligible for FSM,A level,Level 3,17223,17130,15801,15562,15375,91.744,90.356,89.755
202223,Academic year,National,E92000001,England,Revised,FSM,Eligible for FSM,A level,Level 3,21678,21560,19349,19066,18854,89.256,87.951,87.449
202324,Academic year,National,E92000001,England,Revised,FSM,Eligible for FSM,A level,Level 3,25418,25227,22148,21805,21463,87.135,85.786,85.079
201920,Academic year,National,E92000001,England,Final,FSM,Not eligible for FSM,A level,Level 3,210854,206868,195105,192175,184977,92.531,91.141,89.418
202021,Academic year,National,E92000001,England,Final,FSM,Not eligible for FSM,A level,Level 3,203747,202277,192417,190992,188184,94.439,93.74,93.033
202122,Academic year,National,E92000001,England,Revised,FSM,Not eligible for FSM,A level,Level 3,207845,206804,198328,196987,195163,95.421,94.776,94.371
202223,Academic year,National,E92000001,England,Revised,FSM,Not eligible for FSM,A level,Level 3,212525,211409,199855,198040,196436,94.038,93.184,92.918
202324,Academic year,National,E92000001,England,Revised,FSM,Not eligible for FSM,A level,Level 3,213731,212752,198561,197090,195163,92.902,92.214,91.733
201920,Academic year,National,E92000001,England,Final,FSM,Unknown FSM eligibility,A level,Level 3,2772,2631,2463,2284,1817,88.853,82.395,69.061
202021,Academic year,National,E92000001,England,Final,FSM,Unknown FSM eligibility,A level,Level 3,2480,2391,2210,2045,1731,89.113,82.46,72.396
202122,Academic year,National,E92000001,England,Revised,FSM,Unknown FSM eligibility,A level,Level 3,2426,2359,2144,1986,1719,88.376,81.863,72.87
202223,Academic year,National,E92000001,England,Revised,FSM,Unknown FSM eligibility,A level,Level 3,2591,2482,2338,2237,1995,90.235,86.337,80.379
202324,Academic year,National,E92000001,England,Revised,FSM,Unknown FSM eligibility,A level,Level 3,3409,3291,3113,3071,2813,91.317,90.085,85.476
201920,Academic year,National,E92000001,England,Final,SEN Provision,EHC plans and statements of SEN- Autistic spectrum disorder,A level,Level 3,462,453,417,392,378,90.26,84.848,83.444
